"id","code","name","account_type","reconcile","currency_id"
"cross_account_1304","13.04","RESULTADO POR DIFERENCIA DE CAMBIO ","expense",,
"cross_account_1401","14.01","DESAFECTACIÓN DE PREVISIONES ","expense_depreciation",,
"cross_account_1402","14.02","(-) CONSTITUCIÓN DE PREVISIONES ","expense_depreciation",,
"cross_account_1501","15.01","DEPRECIACIONES DEL EJERCICIO ","expense_depreciation",,
"cross_account_1502","15.02","AMORTIZACIONES DEL EJERCICIO","expense_depreciation",,
"cross_account_1701","17.01","UTILIDAD/PÉRDIDA EN VENTA DE ACTIVOS FIJOS","income_other",,
"cross_account_1702","17.02","UTILIDAD/PÉRDIDA EN VENTA DE INVERSIONES","income_other",,
"cross_account_1703","17.03","CUENTAS INCOBRABLES RECUPERADAS","income_other",,
"cross_account_101000001","1.01000001","Efectivo","asset_cash",,
"cross_account_101000002","1.01000002","Banco","asset_cash",,
"cross_account_10101","1.0101","Cuenta transitoria","asset_current",,
"cross_account_10102","1.0102","Recibos pendientes","asset_current","True",
"cross_account_10103","1.0103","Pagos pendientes","liability_current","True",
"cross_account_117000",117000,"Cuenta de Transferencia","asset_current","True",
"cross_account_117001",117001,"Transferencia de liquidez","asset_current",,
"cross_account_999001",999001,"Pérdida por diferencia de efectivo","expense",,
"cross_account_999002",999002,"Ganancia por diferencia de efectivo","income_other",,
