"id","code_alfa_3","code_numeric"
"base.kn","KNA","659"
"base.sm","SMR","674"
"base.sx","SXM","534"
"base.mf","MAF","663"
"base.pm","SPM","666"
"base.vc","VCT","670"
"base.sh","SHN","654"
"base.lc","LCA","662"
"base.va","VAT","336"
"base.st","STP","678"
"base.sn","SEN","686"
"base.rs","SRB","688"
"base.sc","SYC","690"
"base.sl","SLE","694"
"base.sg","SGP","702"
"base.sy","SYR","760"
"base.so","SOM","706"
"base.lk","LKA","144"
"base.sz","SWZ","748"
"base.za","ZAF","710"
"base.sd","SDN","729"
"base.ss","SSD","728"
"base.se","SWE","752"
"base.ch","CHE","756"
"base.sr","SUR","740"
"base.sj","SJM","744"
"base.eh","ESH","732"
"base.th","THA","764"
"base.tw","TWN","158"
"base.tj","TJK","762"
"base.tz","TZA","834"
"base.io","IOT","86"
"base.tf","ATF","260"
"base.tl","TLS","626"
"base.tg","TGO","768"
"base.tk","TKL","772"
"base.to","TON","776"
"base.tt","TTO","780"
"base.tm","TKM","795"
"base.tr","TUR","792"
"base.tv","TUV","798"
"base.tn","TUN","788"
"base.ua","UKR","804"
"base.ug","UGA","800"
"base.uy","URY","858"
"base.uz","UZB","860"
"base.vu","VUT","548"
"base.ve","VEN","862"
"base.vn","VNM","704"
"base.wf","WLF","876"
"base.ye","YEM","887"
"base.dj","DJI","262"
"base.zm","ZMB","894"
"base.zw","ZWE","716"
